data1,data2
A912969,412970
A915784,415785
A933400,433401
A935183,435184
A968925,468926
A969374,469375
A993286,493287
A994281,494282
A912375,412377
A916465,416467
A938933,438935
A950002,450004
A976269,476271
A919621,419624
A934050,434053
A969253,469256
A918703,418707
A925730,425734
A928400,428404
A934452,434456
A971286,471290
A981834,481838
A984365,484369
A985408,485412
A910851,410856
A916427,416432
A934206,434211
A981547,481552
A982475,482480
A991944,491949
A909439,409445
A921197,421203
A938598,438604
A963724,463730
A965405,465411
A914190,414197
A966209,466216
A910547,410555
A948251,448259
A921897,421906
A931685,431694
A925340,425350
A925523,425533
A929987,429997
A934202,434212
A931477,431488
A942867,442878
A945431,445442
A919450,419462
A958592,458604
A965184,465196
A974138,474150
A993595,493607
A919072,419086
A930345,430359
A950269,450283
A961997,462011
A911379,411394
A919733,419748
A919968,419983
A962836,462851
A913272,413288
A914964,414980
A930304,430320
A932311,432327
A934347,434363
A987908,487924
A936040,436057
A952310,452327
A953220,453237
A954893,454910
A955230,455247
A958444,458461
A906334,406352
A917347,417365
A945707,445725
A951129,451147
A956877,456895
A958632,458650
A975778,475796
A978841,478859
A933977,433996
A935914,435933
A973515,473534
A983420,483439
A985872,485891
A989172,489191
A942416,442437
A915147,415169
A916614,416636
A931262,431284
A946788,446811
A954485,454508
A973001,473024
A984241,484264
A992920,492943
A916652,416676
A921791,421815
A929529,429553
A980433,480457
A938252,438277
A966950,466975
A998191,498216
A967741,467767
A990098,490124
A919949,419976
A930576,430603
A951564,451591
A987083,487110
A996590,496617
A919380,419408
A933468,433496
A939758,439786
A944197,444225
A945781,445809
A946182,446210
A946441,446469
A951553,451581
A986267,486295
A905129,405158
A907735,407764
A942004,442033
A910648,410678
A913800,413830
A916823,416853
A945278,445308
A949183,449213
A954497,454527
A967887,467917
A915912,415943
A918138,418169
A919269,419300
A919294,419325
A923290,423321
A933671,433702
A951455,451486
A955686,455717
A957516,457547
A983821,483852
A994812,494843
A912274,412306
A935496,435528
A950359,450391
A984597,484629
A991652,491684
A911664,411697
A981463,481496
A928742,428776
A985507,485542
A915811,415847
A941560,441596
A943895,443931
A949033,449069
A954699,454735
A965079,465115
A912446,412483
A928605,428642
A938763,438800
A951655,451692
A964112,464149
A932865,432903
A954327,454365
A960175,460213
A966807,466845
A971069,471107
A973232,473270
A993869,493907
A918787,418826
A921686,421725
A925863,425902
A953658,453697
A968130,468169
A992644,492683
A949419,449459
A970526,470566
A978629,478669
A904736,404777
A916657,416698
A918704,418745
A925777,425818
A934693,434734
A938166,438207
A950907,450948
A956011,456052
A973956,473997
A923672,423714
A927802,427844
A967414,467456
A969999,470041
A992480,492522
A997290,497332
A948020,448063
A948312,448355
A956581,456624
A964503,464546
A966679,466722
A915657,415701
A939834,439878
A959018,459062
A990775,490819
A922420,422465
A953110,453155
A985927,485972
A991050,491096
A997754,497800
A908338,408385
A963853,463900
A966759,466806
A906528,406576
A915089,415137
A958194,458242
A960821,460869
A987545,487593
A914678,414727
A939702,439751
A922215,422265
A928635,428685
A942088,442138
A955379,455429
A994774,494824
A996906,496956
A910826,410877
A952273,452324
A953009,453060
A970844,470895
A974658,474709
A917220,417272
A919368,419420
A920884,420936
A925734,425786
A929832,429884
A952231,452283
A981025,481077
A992435,492487
A997252,497304
A953034,453087
A981629,481682
A993239,493292
A994881,494934
A926283,426337
A964400,464454
A985310,485364
A933990,434045
A935397,435452
A953163,453218
A974585,474640
A914566,414622
A945507,445563
A967036,467092
A979741,479797
A969902,469959
A973266,473323
A996576,496633
A925655,425713
A928901,428959
A962610,462668
A988908,488966
A908621,408680
A915059,415118
A920607,420666
A931094,431153
A939757,439816
A945410,445469
A955614,455673
A955918,455977
A961509,461568
A986272,486331
A995947,496006
A998189,498248
A940795,440855
A950600,450660
A969700,469760
A970293,470353
A990426,490486
A913655,413716
A929081,429142
A946583,446644
A955358,455419
A958095,458156
A978855,478916
A984649,484710
A991825,491886
A931299,431361
A939374,439436
A947606,447668
A953598,453660
A932391,432454
A919900,419964
A937048,437112
A989439,489503
A958774,458839
A973396,473461
A987792,487857
A993844,493909
A996979,497044
A906495,406561
A909337,409403
A929849,429915
A943911,443978
A956403,456470
A961746,461813
A998461,498528
A944636,444704
A947060,447128
A965683,465751
A992269,492337
A997937,498005
A910405,410474
A925391,425460
A935555,435624
A941987,442056
A942110,442179
A974134,474203
A984366,484435
A907020,407090
A919234,419304
A938623,438693
A952463,452533
A956107,456177
A981315,481385
A981694,481764
A986439,486509
A994647,494717
A937046,437117
A957842,457913
A976366,476437
A906259,406331
A925162,425234
A976444,476516
A931434,431507
A932616,432689
A945638,445711
A951949,452022
A958362,458435
A976473,476546
A918686,418760
A930615,430689
A951850,451924
A973975,474049
A997440,497514
A924955,425030
A929646,429721
A932899,432974
A978918,478993
A923484,423561
A927883,427960
A938154,438231
A940086,440163
A948486,448563
A951459,451536
A995622,495699
A923855,423933
A935124,435202
A936248,436326
A961534,461612
A982629,482707
A990616,490694
A992116,492194
A996490,496568
A931219,431298
A974776,474855
A940135,440215
A991848,491928
A993900,493980
A907946,408027
A942309,442390
A944749,444830
A946539,446620
A987341,487422
A988065,488146
A910614,410696
A916984,417066
A921842,421924
A927134,427216
A939198,439280
A946527,446609
A952480,452562
A954092,454174
A976543,476625
A986496,486578
A997035,497117
A909495,409578
A924558,424641
A927724,427807
A947789,447872
A950809,450892
A993180,493263
A912342,412426
A921355,421439
A966766,466850
A974652,474736
A974698,474782
A975825,475909
A910166,410251
A922296,422381
A933422,433507
A942174,442259
A943249,443334
A987761,487846
A989546,489631
A998273,498358
A906536,406622
A909505,409591
A926009,426095
A937623,437709
A944153,444239
A957160,457246
A961459,461545
A975356,475442
A988248,488334
A906951,407038
A921612,421699
A944994,445081
A955129,455216
A975098,475185
A976049,476136
A923001,423089
A937180,437268
A937185,437273
A976124,476212
A976233,476321
A988541,488629
A918527,418616
A923962,424051
A978693,478782
A997296,497385
A908720,408810
A911884,411974
A931490,431580
A941047,441137
A950614,450704
A960290,460380
A965456,465546
A992788,492878
A928908,428999
A943291,443382
A950470,450561
A955385,455476
A963287,463378
A965768,465859
A975376,475467
A978062,478153
A945840,445932
A968634,468726
A978696,478788
A920927,421021
A949686,449780
A961432,461526
A968625,468719
A969991,470085
A973984,474078
A991249,491343
A994704,494798
A905094,405189
A906088,406183
A913683,413778
A917510,417605
A925054,425149
A927955,428050
A936537,436632
A948176,448271
A978155,478250
A926470,426566
A930263,430359
A931192,431288
A936225,436321
A948064,448160
A957632,457728
A994595,494691
A911001,411098
A917681,417778
A932063,432160
A955910,456007
A995616,495713
A920307,420405
A932099,432197
A954418,454516
A955188,455286
A983557,483655
A989720,489818
A998244,498342
A907842,407941
A930456,430555
A917446,417546
A919856,419956
A941193,441293
A965932,466032
A974646,474746
A980052,480152
A916985,417086
A920634,420735
A921846,421947
A938785,438886
A938921,439022
A943599,443700
A956778,456879
A967423,467524
A917621,417723
A922236,422338
A936434,436536
A944698,444800
A967437,467539
A982046,482148
A983483,483585
A984866,484968
A994082,494185
A934142,434246
A983528,483632
A984993,485097
A907116,407221
A915309,415414
A915335,415440
A932217,432322
A995501,495606
A921761,421867
A923573,423680
A946404,446511
A960621,460728
A969629,469736
A984752,484859
A969080,469188
A912654,412763
A958246,458355
A966980,467089
A961600,461710
A920669,420780
A954564,454675
A955726,455837
A961135,461246
A969356,469467
A974704,474815
A979565,479676
A989206,489317
A907729,407841
A918575,418687
A924444,424556
A928733,428845
A930933,431045
A943060,443172
A947196,447308
A947236,447348
A962183,462295
A965548,465660
A956901,457014
A959532,459645
A972294,472407
A976097,476210
A979126,479239
A955013,455127
A966816,466930
A972120,472234
A915012,415127
A928934,429049
A938672,438787
A909139,409255
A914289,414405
A937353,437469
A948787,448903
A966940,467056
A905451,405568
A905799,405916
A917505,417622
A919936,420053
A924404,424521
A930032,430149
A932579,432696
A949132,449249
A958252,458369
A976025,476142
A981535,481652
A985448,485565
A986621,486738
A987927,488044
A980168,480286
A913140,413259
A983530,483649
A985909,486028
A968764,468884
A991879,491999
A913450,413571
A977448,477569
A978834,478955
A983575,483696
A988464,488585
A992127,492248
A993963,494084
A929039,429161
A959899,460021
A964283,464405
A971708,471830
A979649,479771
A929624,429747
A941459,441582
A982541,482664
A908197,408321
A909455,409579
A917683,417807
A941016,441140
A947039,447163
A951683,451807
A982469,482593
A988731,488855
A932772,432897
A937759,437884
A973823,473949
A966424,466551
A930338,430466
A930643,430771
A948035,448163
A952712,452840
A954403,454531
A971317,471445
A975601,475729
A979766,479894
A981178,481306
A922134,422263
A932490,432619
A973663,473792
A977097,477226
A997462,497591
A911277,411407
A912735,412865
A917451,417581
A960742,460872
A986751,486881
A908326,408457
A926807,426938
A960565,460696
A913831,413963
A913960,414093
A934986,435119
A965636,465769
A977889,478022
A905810,405944
A927515,427649
A930152,430286
A954542,454676
A959984,460118
A962546,462680
A971827,471961
A980815,480949
A983929,484063
A922052,422187
A929744,429879
A945910,446045
A953093,453228
A953502,453637
A957528,457663
A975784,475919
A976591,476726
A907451,407587
A907917,408054
A960682,460819
A907776,407914
A918612,418750
A944288,444426
A944730,444868
A957796,457934
A991579,491717
A977972,478111
A907367,407507
A961011,461151
A966276,466416
A969441,469581
A975814,475954
A977683,477823
A911150,411291
A914812,414953
A947260,447401
A959270,459411
A966296,466437
A970263,470404
A979033,479174
A981647,481788
A918999,419141
A958602,458744
A961007,461149
A971641,471783
A917765,417908
A925791,425934
A942592,442735
A947745,447888
A966570,466713
A998445,498588
A905190,405334
A908674,408818
A915875,416019
A930793,430937
A955864,456008
A966796,466940
A978637,478781
A996966,497110
A909078,409223
A914877,415022
A932257,432402
A945842,445987
A957817,457962
A965916,466061
A967926,468071
A968257,468402
A986727,486872
A996797,496942
A922932,423078
A925834,425980
A941482,441628
A981036,481182
A982361,482507
A985782,485928
A917405,417552
A938417,438564
A949652,449799
A950008,450155
A959980,460127
A909391,409539
A928956,429104
A967178,467326
A992954,493102
A918897,419046
A922774,422923
A938956,439105
A947249,447398
A988502,488651
A992227,492376
A994849,494998
A908925,409075
A915482,415632
A956786,456936
A913761,413912
A914681,414832
A920666,420817
A929505,429656
A940534,440685
A945131,445282
A968207,468358
A968419,468570
A969621,469772
A978618,478769
A981963,482114
A993405,493556
A909930,410082
A914070,414222
A925333,425485
A931286,431438
A933757,433909
A950692,450844
A972688,472840
A979697,479849
A981648,481800
A994152,494304
A917341,417494
A928089,428242
A954870,455023
A958825,458978
A989802,489955
A933904,434058
A934629,434783
A943881,444035
A959173,459327
A912869,413024
A921616,421771
A933913,434068
A976180,476335
A980269,480424
A912778,412934
A961698,461854
A967460,467616
A975202,475358
A979324,479480
A986904,487060
A916332,416489
A957920,458077
A963698,463855
A972996,473153
A975681,475838
A980110,480267
A990815,490972
A996385,496542
A996688,496845
A981713,481871
A993279,493437
A916283,416442
A930157,430316
A944447,444606
A946424,446583
A971806,471965
A985205,485364
A987880,488039
A921811,421972
A941950,442111
A945509,445670
A968401,468562
A985424,485585
A904974,405136
A912961,413123
A916897,417059
A976611,476773
A909019,409182
A922274,422437
A940396,440559
A954369,454532
A975937,476100
A906711,406875
A936865,437029
A980625,480789
A983737,483901
A931393,431558
A960385,460550
A965623,465788
A972063,472228
A975879,476044
A995655,495820
A933736,433902
A955089,455255
A956922,457088
A922573,422740
A924003,424170
A944005,444172
A987526,487693
A994940,495107
A910959,411127
A911972,412140
A927762,427930
A957942,458110
A960153,460321
A961024,461192
A961711,461879
A962843,463011
A978670,478838
A984081,484249
A992575,492743
A916960,417129
A925041,425210
A946771,446940
A989959,490128
A920805,420975
A926932,427102
A956580,456750
A977181,477351
A918153,418324
A922327,422498
A926725,426896
A972097,472268
A991566,491737
A992206,492377
A923104,423276
A956553,456725
A969875,470047
A998144,498316
A904988,405161
A911946,412119
A928891,429064
A935586,435759
A935832,436005
A936273,436446
A955338,455511
A968543,468716
A984423,484596
A989180,489353
A966135,466309
A988935,489109
A989665,489839
A996684,496858
A922595,422770
A944383,444558
A986191,486366
A996255,496430
A998703,498878
A921771,421947
A938862,439038
A943758,443934
A950589,450765
A954107,454283
A963320,463496
A934102,434279
A961263,461440
A985378,485555
A991524,491701
A993726,493903
A955790,455968
A971264,471442
A983327,483505
A986954,487132
A988588,488766
A991813,491991
A911863,412042
A951005,451184
A998698,498877
A957194,457374
A973243,473423
A987576,487756
A922315,422496
A938780,438961
A948403,448584
A959822,460003
A970361,470542
A974846,475027
A985768,485949
A991422,491603
A920672,420854
A974779,474961
A930230,430413
A934752,434935
A943003,443186
A966369,466552
A916390,416574
A938435,438619
A969078,469262
A971580,471764
A981509,481693
A913907,414092
A929214,429399
A930123,430308
A934369,434554
A940268,440453
A942959,443144
A948243,448428
A956519,456704
A962986,463171
A963068,463253
A963252,463437
A967814,467999
A973224,473409
A980810,480995
A982246,482431
A990885,491070
A995895,496080
A938241,438427
A950087,450273
A969322,469508
A976737,476923
A980015,480201
A983958,484144
A982913,483100
A913049,413237
A922717,422905
A963299,463487
A932906,433095
A941714,441903
A960292,460481
A983738,483927
A997530,497719
A925278,425468
A947208,447398
A969523,469713
A970070,470261
A911623,411815
A927532,427724
A930239,430431
A930297,430489
A936409,436601
A948776,448968
A974990,475182
A909511,409704
A917260,417453
A918615,418808
A941737,441930
A944087,444280
A944266,444459
A955391,455584
A962353,462546
A930910,431104
A936928,437122
A973767,473961
A926655,426850
A936084,436279
A948720,448915
A952817,453012
A953206,453401
A972671,472866
A922538,422734
A923612,423808
A924321,424517
A946302,446498
A983916,484112
A916770,416967
A944330,444527
A965346,465543
A967721,467918
A973075,473272
A979533,479730
A989942,490139
A998700,498897
A924826,425024
A930585,430783
A939269,439467
A964502,464700
A975208,475406
A980049,480247
A981665,481863
A990225,490423
A991338,491536
A991803,492001
A996529,496727
A997626,497824
A961723,461922
A961768,461967
A970429,470628
A997832,498031
A953875,454075
A955363,455563
A968589,468789
A908219,408420
A912843,413044
A922611,422812
A925657,425858
A967030,467231
A968342,468543
A988969,489170
A911189,411391
A924740,424942
A962825,463027
A969256,469458
A979703,479905
A910015,410218
A919411,419614
A919414,419617
A919947,420150
A940574,440777
A967992,468195
A974878,475081
A997170,497373
A915814,416018
A958525,458729
A995779,495983
A924029,424234
A976421,476626
A995607,495812
A909288,409494
A919304,419510
A922406,422612
A926546,426752
A948275,448481
A952243,452449
A964711,464917
A982403,482609
A987612,487818
A991807,492013
A995989,496195
A913125,413332
A920372,420579
A933279,433486
A936577,436784
A938870,439077
A954850,455057
A983906,484113
A968151,468359
A985924,486132
A914320,414529
A928249,428458
A939009,439218
A953752,453961
A955454,455663
A989900,490109
A915848,416058
A940581,440791
A943252,443462
A970635,470845
A989398,489608
A922594,422805
A925287,425498
A987027,487238
A996920,497131
A924436,424648
A910818,411031
A920353,420566
A925469,425682
A937553,437766
A945163,445376
A956911,457124
A966169,466382
A966204,466417
A974899,475112
A911862,412076
A914222,414436
A927371,427585
A934436,434650
A935687,435901
A936564,436778
A945470,445684
A955114,455328
A957008,457222
A960732,460946
A984237,484451
A992037,492251
A996093,496307
A998973,499187
A948681,448896
A956690,456905
A964202,464417
A981571,481786
A987995,488210
A922938,423154
A955676,455892
A969608,469824
A974243,474459
A986867,487083
A994061,494277
A927922,428139
A953761,453978
A960211,460428
A966113,466330
A969169,469386
A931075,431293
A970435,470653
A972040,472258
A972448,472666
A994614,494832
A906923,407142
A938702,438921
A940819,441038
A942170,442389
A946351,446570
A967430,467649
A970693,470912
A990627,490846
A991321,491540
A995393,495612
A995772,495991
A916765,416985
A919612,419832
A947423,447643
A952177,452397
A912607,412828
A918568,418789
A936905,437126
A952134,452355
A960776,460997
A977681,477902
A978280,478501
A926329,426551
A939392,439614
A951382,451604
A957907,458129
A970434,470656
A979018,479240
A995247,495469
A995551,495773
A997249,497471
A998767,498989
A942117,442340
A949237,449460
A953758,453981
A957339,457562
A984576,484799
A928805,429029
A930993,431217
A950902,451126
A971840,472064
A909169,409394
A916117,416342
A941959,442184
A951779,452004
A960259,460484
A961900,462125
A969142,469367
