cluster_id, record_id
1,A904694
5,A904698
6,A904699
8,A904701
12,A904705
12,A980100
13,A904706
13,A933664
13,A996153
13,A945887
15,A904708
15,A954266
16,A904709
16,A948754
18,A904711
19,A904712
19,A988348
19,A910190
19,A959293
20,A904713
22,A904715
24,A904717
26,A904719
27,A904720
28,A904721
29,A904722
29,A905365
29,A992543
32,A904725
33,A904726
33,A989190
34,A904727
35,A904728
36,A904729
37,A904730
37,A951737
37,A958322
41,A904734
43,A904736
43,A916657
43,A934693
44,A904737
44,A994802
45,A904738
45,A910512
45,A937213
47,A904740
47,A997783
47,A971052
47,A913167
50,A904743
50,A940139
50,A945127
52,A904745
53,A904746
53,A921437
54,A904747
56,A904749
56,A989039
56,A997010
58,A904751
59,A904752
63,A904756
65,A904758
67,A904760
67,A978017
69,A904762
70,A904763
70,A989596
70,A959925
74,A904767
78,A904771
78,A962618
78,A930500
78,A959513
83,A904776
85,A904778
85,A912498
85,A912519
85,A945573
86,A904779
86,A945206
87,A904780
87,A908406
87,A927205
87,A992974
87,A909486
89,A904782
90,A904783
91,A904784
91,A936282
92,A904785
93,A904786
96,A904789
97,A904790
97,A939073
101,A904794
104,A904797
107,A904800
107,A958068
109,A904802
109,A936266
109,A962279
109,A979027
111,A904804
112,A904805
116,A904809
117,A904810
117,A985789
118,A904811
118,A971061
120,A904813
120,A936686
120,A943236
120,A989889
120,A941658
121,A904814
121,A931120
122,A904815
124,A904817
125,A904818
126,A904819
126,A908839
128,A904821
128,A950014
128,A967400
128,A974991
129,A904822
129,A923744
129,A968387
129,A985651
129,A976226
130,A904823
130,A917669
130,A973379
130,A992114
130,A956054
130,A970351
130,A957756
132,A904825
132,A938794
132,A975404
132,A981877
132,A939781
135,A904828
136,A904829
138,A904831
138,A917752
140,A904833
140,A994192
140,A989774
140,A981734
141,A904834
141,A925169
141,A970495
141,A980906
141,A931942
143,A904836
143,A974354
144,A904837
144,A939533
144,A946850
144,A988628
144,A914578
144,A938879
145,A904838
145,A952226
145,A962808
146,A904839
149,A904842
150,A904843
150,A963595
150,A980856
150,A907893
150,A923550
150,A947712
151,A904844
152,A904845
153,A904846
154,A904847
154,A908046
154,A993853
155,A904848
155,A912083
155,A931639
155,A931902
157,A904850
159,A904852
160,A904853
161,A904854
161,A913277
161,A945915
